t,i,v
2.14,-2.06174667643233,-7
2.15,-2.06446254300134,-7
2.16,-2.06715125090466,-7
2.17,-2.06981307172894,-7
2.18,-2.07244827434499,-7
2.19,-2.07505712493487,-7
2.2,-2.07763988701885,-7
2.21,-2.080196821482,-7
2.22,-2.08272818660051,-7
2.23,-2.08523423806784,-7
2.24,-2.0877152290205,-7
2.25,-2.09017141006362,-7
2.26,-2.09260302929632,-7
2.27,-2.09501033233669,-7
2.28,-2.09739356234666,-7
2.29,-2.09975296005652,-7
2.3,-2.10208876378929,-7
2.31,-2.10440120948473,-7
2.32,-2.10669053072322,-7
2.33,-2.10895695874932,-7
2.34,-2.11120072249516,-7
2.35,-2.11342204860354,-7
2.36,-2.11562116145084,-7
2.37,-2.11779828316966,-7
2.38,-2.1199536336713,-7
2.39,-2.12208743066792,-7
2.4,-2.12419988969458,-7
2.41,-2.12629122413096,-7
2.42,-2.12836164522299,-7
2.43,-2.13041136210409,-7
2.44,-2.13244058181638,-7
2.45,-2.13444950933155,-7
2.46,-2.13643834757157,-7
2.47,-2.13840729742919,-7
2.48,-2.14035655778823,-7
2.49,-2.14228632554368,-7
2.5,-2.14419679562158,-7
2.51,-2.14608816099869,-7
2.52,-2.14796061272204,-7
2.53,-2.14981433992815,-7
2.54,-2.15164952986221,-7
2.55,-2.15346636789692,-7
2.56,-2.15526503755128,-7
2.57,-2.1570457205091,-7
2.58,-2.15880859663734,-7
2.59,-2.1605538440043,-7
2.6,-2.16228163889759,-7
2.61,-2.16399215584195,-7
2.62,-2.16568556761686,-7
2.63,-2.16736204527403,-7
2.64,-2.16902175815462,-7
2.65,-2.17066487390641,-7
2.66,-2.17229155850068,-7
2.67,-2.17390197624901,-7
2.68,-2.17549628981985,-7
2.69,-2.17707466025498,-7
2.7,-2.17863724698577,-7
2.71,-2.18018420784924,-7
2.72,-2.18171569910408,-7
2.73,-2.18323187544638,-7
2.74,-2.18473289002524,-7
2.75,-2.18621889445833,-7
2.76,-2.18769003884708,-7
2.77,-2.18914647179194,-7
2.78,-2.19058834040735,-7
2.79,-2.19201579033661,-7
2.8,-2.19342896576658,-7
2.81,-2.19482800944225,-7
2.82,-2.19621306268116,-7
2.83,-2.19758426538768,-7
2.84,-2.19894175606714,-7
2.85,-2.2002856718398,-7
2.86,-2.20161614845473,-7
2.87,-2.20293332030352,-7
2.88,-2.20423732043382,-7
2.89,-2.20552828056281,-7
2.9,-2.20680633109052,-7
2.91,-2.20807160111295,-7
2.92,-2.20932421843515,-7
2.93,-2.21056430958413,-7
2.94,-2.21179199982162,-7
2.95,-2.21300741315674,-7
2.96,-2.21421067235851,-7
2.97,-2.21540189896826,-7
2.98,-2.21658121331191,-7
2.99,-2.21774873451212,-7
3,-2.21890458050033,-7
3.01,-2.22004886802866,-7
3.02,-2.22118171268171,-7
3.03,-2.22230322888823,-7
3.04,-2.22341352993268,-7
3.05,-2.22451272796668,-7
3.06,-2.22560093402035,-7
3.07,-2.22667825801348,-7
3.08,-2.22774480876668,-7
3.09,-2.22880069401234,-7
3.1,-2.22984602040555,-7
3.11,-2.23088089353483,-7
3.12,-2.23190541793282,-7
3.13,-2.23291969708682,-7
3.14,-2.23392383344929,-7
3.15,-2.23491792844813,-7
3.16,-2.23590208249698,-7
3.17,-2.23687639500534,-7
3.18,-2.23784096438862,-7
3.19,-2.23879588807807,-7
3.2,-2.23974126253062,-7
3.21,-2.24067718323865,-7
3.22,-2.2416037447396,-7
3.23,-2.24252104062553,-7
3.24,-2.24342916355261,-7
3.25,-2.24432820525042,-7
3.26,-2.24521825653125,-7
3.27,-2.24609940729927,-7
3.28,-2.24697174655961,-7
3.29,-2.24783536242735,-7
3.3,-2.24869034213641,-7
3.31,-2.24953677204838,-7
3.32,-2.25037473766123,-7
3.33,-2.25120432361795,-7
3.34,-2.2520256137151,-7
3.35,-2.25283869091128,-7
3.36,-2.2536436373355,-7
3.37,-2.25444053429548,-7
3.38,-2.25522946228586,-7
3.39,-2.25601050099634,-7
3.4,-2.25678372931971,-7
3.41,-2.25754922535984,-7
3.42,-2.25830706643958,-7
3.43,-2.25905732910851,-7
3.44,-2.25980008915076,-7
3.45,-2.26053542159259,-7
3.46,-2.26126340071,-7
3.47,-2.26198410003623,-7
3.48,-2.2626975923692,-7
3.49,-2.26340394977884,-7
3.5,-2.26410324361439,-7
3.51,-2.26479554451158,-7
3.52,-2.26548092239979,-7
3.53,-2.26615944650913,-7
3.54,-2.26683118537737,-7
3.55,-2.26749620685693,-7
3.56,-2.26815457812169,-7
3.57,-2.26880636567381,-7
3.58,-2.26945163535041,-7
3.59,-2.27009045233024,-7
3.6,-2.27072288114027,-7
3.61,-2.2713489856622,-7
3.62,-2.27196882913891,-7
3.63,-2.27258247418085,-7
3.64,-2.27318998277238,-7
3.65,-2.27379141627799,-7
3.66,-2.27438683544854,-7
3.67,-2.27497630042739,-7
3.68,-2.27555987075645,-7
3.69,-2.27613760538222,-7
3.7,-2.27670956266173,-7
3.71,-2.27727580036844,-7
3.72,-2.27783637569809,-7
3.73,-2.27839134527445,-7
3.74,-2.27894076515503,-7
3.75,-2.27948469083682,-7
3.76,-2.28002317726178,-7
3.77,-2.2805562788225,-7
3.78,-2.28108404936761,-7
3.79,-2.28160654220726,-7
3.8,-2.28212381011852,-7
3.81,-2.28263590535067,-7
3.82,-2.2831428796305,-7
3.83,-2.28364478416753,-7
3.84,-2.28414166965919,-7
3.85,-2.28463358629593,-7
3.86,-2.2851205837663,-7
3.87,-2.28560271126197,-7
3.88,-2.28608001748268,-7
3.89,-2.28655255064119,-7
3.9,-2.28702035846811,-7
3.91,-2.28748348821676,-7
3.92,-2.28794198666793,-7
3.93,-2.28839590013458,-7
3.94,-2.28884527446657,-7
3.95,-2.28929015505524,-7
