t,v,i,noisy_i
25.195,4,1.73665298907581,1.73731553548484
25.196,4,1.73624966942006,1.73691221582909
25.197,4,1.73584675308398,1.73650929949301
25.198,4,1.73544423966423,1.73610678607326
25.199,4,1.7350421287579,1.73570467516693
25.2,4,1.73464041996247,1.73414234593936
25.201,4,1.73423911287584,1.73374103885273
25.202,4,1.7338382070963,1.73334013307319
25.203,4,1.73343770222254,1.73293962819942
25.204,4,1.73303759785365,1.73253952383053
25.205,4,1.73263789358913,1.73213981956601
25.206,4,1.73223858902887,1.73174051500576
25.207,4,1.73183968377318,1.73134160975006
25.208,4,1.73144117742274,1.73094310339962
25.209,4,1.73104306957865,1.73054499555553
25.21,4,1.7306453598424,1.73014728581929
25.211,4,1.73024804781589,1.72974997379278
25.212,4,1.72985113310141,1.7293530590783
25.213,4,1.72945461530164,1.72895654127853
25.214,4,1.72905849401967,1.72856041999656
25.215,4,1.72866276885899,1.72816469483587
25.216,4,1.72826743942346,1.72776936540035
25.217,4,1.72787250531737,1.72737443129426
25.218,4,1.72747796614539,1.72697989212227
25.219,4,1.72708382151257,1.72658574748946
25.22,4,1.7266900710244,1.72619199700128
25.221,4,1.7262967142867,1.72579864026359
25.222,4,1.72590375090575,1.72540567688264
25.223,4,1.72551118048818,1.72501310646507
25.224,4,1.72511900264102,1.72462092861791
25.225,4,1.72472721697172,1.7242291429486
25.226,4,1.72433582308808,1.72383774906497
25.227,4,1.72394482059832,1.72344674657521
25.228,4,1.72355420911106,1.72305613508794
25.229,4,1.72316398823528,1.72266591421217
25.23,4,1.72277415758038,1.72227608355727
25.231,4,1.72238471675613,1.72188664273302
25.232,4,1.72199566537271,1.7214975913496
25.233,4,1.72160700304067,1.72110892901756
25.234,4,1.72121872937096,1.72072065534785
25.235,4,1.72083084397492,1.72033276995181
25.236,4,1.72044334646428,1.71994527244117
25.237,4,1.72005623645115,1.71955816242804
25.238,4,1.71966951354803,1.71917143952492
25.239,4,1.71928317736782,1.71878510334471
25.24,4,1.71889722752378,1.71839915350067
25.241,4,1.71851166362959,1.71801358960648
25.242,4,1.7181264852993,1.71762841127618
25.243,4,1.71774169214733,1.71724361812422
25.244,4,1.71735728378852,1.7168592097654
25.245,4,1.71697325983806,1.71647518581495
25.246,4,1.71658961991156,1.71609154588844
25.247,4,1.71620636362498,1.71570828960187
25.248,4,1.71582349059469,1.71532541657157
25.249,4,1.71544100043743,1.71494292641431
25.25,4,1.71505889277032,1.71456081874721
25.251,4,1.71467716721089,1.71417909318777
25.252,4,1.71429582337701,1.71379774935389
25.253,4,1.71391486088696,1.71341678686385
25.254,4,1.71353427935941,1.7130362053363
25.255,4,1.71315407841338,1.71265600439027
25.256,4,1.7127742576683,1.71227618364519
25.257,4,1.71239481674397,1.71189674272086
25.258,4,1.71201575526056,1.71151768123745
25.259,4,1.71163707283863,1.71113899881552
25.26,4,1.71125876909913,1.71076069507601
25.261,4,1.71088084366336,1.71038276964025
25.262,4,1.71050329615303,1.71000522212992
25.263,4,1.71012612619021,1.7096280521671
25.264,4,1.70974933339735,1.70925125937424
25.265,4,1.70937291739729,1.70887484337418
25.266,4,1.70899687781323,1.70849880379011
25.267,4,1.70862121426875,1.70812314024563
25.268,4,1.70824592638781,1.7077478523647
25.269,4,1.70787101379476,1.70737293977164
